U93;446;Transparentalls;0.82;769;81;25
US;62;977;E-Voice;0.64;624;41;3
GB;93;1734;TransparentCalls;0.66;431;52;34
FR;11;136;TransparentCalls;0.67;216;37;7
BL;44;1998;E-Voice;0.85;797;23;38
AT;0;1124;TransparentCalls;0.78;401;58;53
BG;29;1176;E-Voice;0.72;6;52;11
DK;40;1132;JustPhone;0.68;533;53;36
CA;16;1977;JustPhone;1.00;827;77;57
ES;37;1754;E-Voice;0.70;788;88;22
CH;21;1307;JustPhone;0.86;62;91;46
TR;93;187;TransparentCalls;0.83;330;62;50
PE;82;152;JustPhone;0.97;609;64;22
NZ;71;942;JustPhone;0.75;247;55;13
MC;27;201;E-Voice;0.98;539;68;52
